timestamp,quote_timestamp,instrument_name,expiry,strike,option_type,bid,ask,mark,bid_btc,ask_btc,mark_btc,underlying,bid_size,ask_size,volume,volume_usd,open_interest,mark_iv,bid_iv,ask_iv,delta,gamma,vega,theta,rho,index_price,state
2026-04-28 21:34:00+00:00,2026-04-28 21:34:49.859000+00:00,BTC-1MAY26-78000-P,2026-05-01 08:00:00+00:00,78000.0,P,1906.8235000000002,2173.7787900000003,2051.742086,0.025,0.0285,0.0269,76272.94,8.6,0.6,5.0,11403.33,482.7,37.83,29.68,43.84,-0.76093,0.00013,19.32182,-150.1599,-4.00727,76318.88,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:50.866000+00:00,BTC-1MAY26-78500-C,2026-05-01 08:00:00+00:00,78500.0,C,221.19152599999998,244.07340800000003,228.81882000000002,0.0029,0.0032,0.003,76272.94,1.0,0.3,13.2,5540.42,30.2,37.84,37.51,38.9,0.17986,0.00011,16.33552,-126.981,0.89969,76317.96,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:50.866000+00:00,BTC-1MAY26-78500-P,2026-05-01 08:00:00+00:00,78500.0,P,2288.1882,2593.2799600000003,2455.988668,0.03,0.034,0.0322,76272.94,8.2,0.2,0.0,0.0,0.0,37.84,25.47,45.76,-0.82014,0.00011,16.33552,-126.981,-4.33513,76317.96,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:50.866000+00:00,BTC-1MAY26-74000-C,2026-05-01 08:00:00+00:00,74000.0,C,2440.73408,2669.5529,2562.770784,0.032,0.035,0.0336,76272.94,11.6,0.6,0.0,0.0,224.4,43.46,35.56,49.35,0.80791,0.0001,17.01568,-151.90001,3.93827,76317.96,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:51.872000+00:00,BTC-1MAY26-74000-P,2026-05-01 08:00:00+00:00,74000.0,P,282.20717700000006,312.716061,289.834398,0.0037,0.0041,0.0038,76272.21,13.4,3.9,82.3,25208.24,499.6,43.46,42.88,44.66,-0.19216,0.0001,17.01969,-151.93809,-0.99687,76318.47,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:51.872000+00:00,BTC-1MAY26-79000-C,2026-05-01 08:00:00+00:00,79000.0,C,152.54585999999998,175.42773899999997,152.54585999999998,0.002,0.0023,0.002,76272.93,1.0,12.7,78.0,19766.58,803.7,38.03,37.81,39.49,0.13229,9e-05,13.33631,-104.18885,0.66252,76318.47,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:51.872000+00:00,BTC-1MAY26-79000-P,2026-05-01 08:00:00+00:00,79000.0,P,2783.9619449999996,2974.64427,2883.1167539999997,0.0365,0.039,0.0378,76272.93,0.2,0.3,0.2,631.22,72.1,38.03,29.11,44.33,-0.86771,9e-05,13.33631,-104.18885,-4.60565,76318.47,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-73000-C,2026-05-01 08:00:00+00:00,73000.0,C,3356.01156,3546.6940350000004,3439.9118490000005,0.044,0.0465,0.0451,76272.99,0.8,0.2,0.0,0.0,141.3,46.1,38.07,53.78,0.88178,7e-05,12.32919,-116.75284,4.25545,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.987000+00:00,BTC-1MAY26-73000-P,2026-05-01 08:00:00+00:00,73000.0,P,160.173279,183.055176,167.80057800000003,0.0021,0.0024,0.0022,76272.99,13.9,0.5,39.6,7010.35,691.8,46.1,45.36,47.21,-0.11822,7e-05,12.32919,-116.75284,-0.61261,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-80000-C,2026-05-01 08:00:00+00:00,80000.0,C,68.645637,83.900223,76.27292999999999,0.0009,0.0011,0.001,76272.93,24.2,16.9,145.1,18046.83,2069.0,39.14,38.44,40.24,0.06989,6e-05,8.35261,-67.15838,0.35051,76318.34,open
